node1,lat1,lon1,node2,lat2,lon2,heat
358606820,46.5248603,6.5788816,367996514,46.5248356,6.5785003,2
332456694,46.5434281,6.5907120,3909660656,46.5429006,6.5914674,2
332269632,46.5247326,6.5976849,332269634,46.5242937,6.5986347,2
1727497538,46.5494382,6.5798169,330162260,46.5492167,6.5799699,2
1184833745,46.5723870,6.6330873,3301613243,46.5722810,6.6331188,2
2888243121,46.5400268,6.5951455,5793731369,46.5399574,6.5953208,2
343766028,46.5537443,6.5996341,460827613,46.5533100,6.5995518,2
1412419405,46.5251648,6.6323606,295490163,46.5251454,6.6324392,2
2071275467,46.5591919,6.6358763,3301398146,46.5591714,6.6358940,2
4159700506,46.5395852,6.5960079,4159700513,46.5396981,6.5956231,2
563240696,46.5228841,6.6107255,563240706,46.5231254,6.6100098,2
2071275458,46.5579153,6.6356637,2071275459,46.5584298,6.6357862,2
310138573,46.5103310,6.7042121,4605004494,46.5101740,6.7044195,2
276654458,46.5235747,6.6087230,276654487,46.5234123,6.6091928,2
3086432923,46.5209558,6.6414294,3493068083,46.5210637,6.6414621,2
621707608,46.5347606,6.6519749,621707610,46.5347194,6.6518594,2
615820078,46.5181557,6.6454441,615820131,46.5181926,6.6454130,2
582665565,46.5415484,6.6235672,582686756,46.5416415,6.6234074,2
330902487,46.5149849,6.6533023,766679812,46.5149518,6.6533234,2
313711902,46.5399170,6.5954229,5793731369,46.5399574,6.5953208,2
253154149,46.5244180,6.5772571,649748762,46.5245415,6.5774849,2
265718088,46.5410209,6.5935721,332455228,46.5417659,6.5929161,2
2318074268,46.5457062,6.6054314,2318074270,46.5459831,6.6054298,2
1471342447,46.5409961,6.5630044,309479905,46.5410117,6.5631571,2
1475472555,46.5219975,6.5641950,253204612,46.5219630,6.5641517,2
