t,duration,distance
15:00:00,546.0,4419.0
21:00:00,163.0,1521.0
18:15:00,640.0,5953.0
18:30:00,577.0,4958.0
19:30:00,638.0,7763.0
20:30:00,496.0,5087.0
18:15:00,776.0,9495.0
20:30:00,860.0,9655.0
20:15:00,430.0,3739.0
18:15:00,626.0,7670.0
19:30:00,206.0,1873.0
18:30:00,631.0,7574.0
19:00:00,626.0,7670.0
20:00:00,154.0,1278.0
19:00:00,283.0,2398.0
20:15:00,872.0,13905.0
19:00:00,373.0,2808.0
20:15:00,300.0,2813.0
20:00:00,626.0,7670.0
18:15:00,377.0,3581.0
18:45:00,681.0,7206.0
19:30:00,201.0,1465.0
20:00:00,100.0,906.0
19:00:00,493.0,4336.0
18:30:00,189.0,1516.0
18:30:00,102.0,724.0
18:15:00,699.0,8374.0
18:15:00,352.0,3192.0
20:30:00,252.0,2136.0
18:30:00,309.0,2672.0
18:15:00,214.0,1826.0
20:15:00,256.0,2171.0
19:45:00,138.0,1142.0
18:30:00,271.0,2323.0
20:15:00,538.0,4886.0
19:00:00,626.0,7670.0
19:30:00,626.0,7670.0
18:30:00,641.0,8446.0
19:15:00,206.0,1873.0
13:45:00,541.0,6766.0
19:45:00,432.0,4403.0
19:15:00,421.0,3374.0
19:45:00,699.0,8374.0
20:30:00,134.0,1101.0
19:15:00,653.0,9521.0
20:15:00,220.0,2004.0
21:00:00,82.0,819.0
18:15:00,1192.0,22847.0
18:15:00,351.0,2770.0
19:00:00,626.0,7670.0
19:45:00,126.0,1051.0
20:15:00,642.0,6081.0
19:00:00,283.0,2294.0
19:00:00,589.0,6161.0
20:00:00,335.0,2624.0
18:15:00,206.0,1873.0
19:45:00,199.0,1812.0
18:30:00,626.0,7670.0
18:30:00,138.0,1142.0
20:45:00,200.0,1749.0
18:15:00,158.0,1349.0
18:15:00,275.0,2477.0
18:15:00,357.0,3360.0
19:45:00,542.0,6899.0
19:00:00,626.0,7670.0
18:30:00,296.0,2668.0
19:15:00,262.0,2295.0
19:00:00,303.0,2792.0
19:15:00,526.0,4521.0
18:00:00,626.0,7670.0
19:45:00,542.0,5582.0
20:30:00,626.0,7670.0
13:15:00,437.0,4135.0
19:30:00,264.0,2014.0
19:30:00,128.0,1202.0
19:45:00,384.0,3643.0
19:30:00,223.0,1775.0
19:15:00,638.0,7763.0
13:30:00,437.0,3871.0
19:45:00,224.0,2082.0
19:00:00,324.0,2760.0
18:00:00,259.0,2322.0
20:15:00,626.0,7670.0
18:15:00,626.0,7670.0
18:00:00,124.0,1061.0
19:00:00,699.0,8374.0
20:45:00,626.0,7670.0
18:30:00,262.0,2295.0
15:00:00,491.0,4366.0
19:45:00,552.0,5569.0
19:30:00,296.0,2312.0
18:30:00,239.0,2441.0
19:00:00,707.0,8354.0
18:00:00,707.0,8354.0
18:45:00,191.0,1414.0
18:30:00,254.0,1940.0
20:15:00,570.0,6947.0
19:00:00,271.0,2215.0
20:00:00,352.0,3391.0
19:45:00,233.0,2054.0
19:15:00,296.0,2560.0
18:15:00,626.0,7670.0
19:45:00,188.0,1697.0
13:00:00,208.0,1727.0
15:00:00,209.0,1826.0
19:00:00,707.0,8354.0
18:15:00,330.0,3147.0
19:45:00,199.0,1665.0
19:00:00,707.0,8354.0
18:45:00,268.0,2302.0
19:15:00,446.0,4396.0
18:30:00,800.0,10304.0
20:00:00,626.0,7670.0
18:30:00,442.0,4180.0
19:00:00,653.0,9521.0
11:45:00,220.0,1741.0
18:15:00,277.0,2395.0
19:15:00,699.0,8374.0
21:15:00,707.0,8354.0
14:15:00,626.0,7670.0
19:30:00,707.0,8354.0
18:00:00,234.0,2276.0
18:00:00,430.0,3739.0
18:15:00,657.0,9338.0
21:00:00,432.0,4075.0
19:15:00,354.0,3242.0
19:00:00,626.0,7670.0
